distancia,angulo,velocidade,direcao_robo,direcao_inimigo,fui_acertado

0.0,0.0,0.0,0.0,0.0,1
721.392147777606,154.77381253825726,4.0,0.0,228.81575573590447,1
721.1072025792995,154.83423598661562,5.0,0.0,235.81575573590445,1
720.9784952298829,154.85762316226382,6.0,0.0,242.06575573590447,1
721.1104598914594,154.8364701271904,7.0,0.0,247.56575573590447,1
721.593091051134,154.76670939596647,8.0,0.0,252.31575573590447,1
722.3930939247839,154.66053640839513,8.0,0.0,256.3157557359045,1
723.5442823036678,154.5200548554707,8.0,0.0,260.3157557359045,1
725.079331832279,154.34764635113785,8.0,0.0,264.31575573590453,1
727.0294415363209,154.14595943519166,8.0,0.0,268.31575573590453,1
729.4239959200905,153.91789232905592,8.0,0.0,272.31575573590453,1
732.2902349106042,153.6665694110921,8.0,0.0,276.31575573590453,1
735.6529392868101,153.39531164468977,8.0,0.0,280.31575573590453,1
739.5341392713112,153.10760147291737,8.0,0.0,284.31575573590453,1
743.9528536453332,152.80704296863576,8.0,0.0,288.31575573590453,1
748.9248660666357,152.49731827777077,8.0,0.0,292.31575573590453,1
754.4625442447302,152.18214159558738,8.0,0.0,296.31575573590453,1
760.1601452441131,151.86970539986137,8.0,0.0,297.31578005181944,1
765.8369919758371,151.56246763163014,8.0,0.0,297.00334385609347,1
771.4932307831195,151.26028798776022,8.0,0.0,296.69610608786223,1
777.4685815171238,151.10831367188354,6.0,0.0,296.3939264439923,1
784.1696101531637,151.09930871153404,4.0,0.0,301.8939264439923,1
791.2683381728364,151.23460702326204,2.0,0.0,308.89392644399237,1
798.2904011573429,151.510919780898,-0.0,0.0,316.36824547949413,1
805.1623294720722,151.8525448628043,-1.0,0.0,316.64455823713007,1
811.889240794861,152.25787621198393,-2.0,0.0,316.98618331903646,1
818.4759559083882,152.72538712326522,-3.0,0.0,317.391514668216,1
824.9269846806046,153.25362352061913,-4.0,0.0,317.8590255794973,1
831.2465126270779,153.84119800658306,-5.0,0.0,318.3872619768512,1
