923,280675,6,000000,84,048481,100,000000,36,964566
1053,124054,8,000000,93,298481,100,000000,36,964566
1049,595216,8,000000,25,298481,100,000000,36,964566
938,672176,8,000000,309,298481,100,000000,36,964566
929,951399,8,000000,305,298481,100,000000,36,964566
813,010420,8,000000,13,298481,100,000000,36,964566
854,740213,8,000000,89,298481,100,000000,36,964566
979,461981,-1,000000,163,298481,100,000000,36,964566
1012,897153,-1,000000,146,048481,100,000000,36,964566
929,475272,-8,000000,53,048481,100,000000,36,964566
898,679304,-8,000000,95,298481,100,000000,36,964566
751,535018,-8,000000,163,298481,100,000000,36,964566
745,009549,-8,000000,167,298481,100,000000,36,964566
707,440574,2,000000,259,548481,100,000000,36,964566
705,012822,3,000000,268,048481,100,000000,36,964566
582,151408,8,000000,265,298481,100,000000,36,964566
577,607976,8,000000,261,298481,100,000000,36,964566
641,725990,8,000000,185,298481,100,000000,36,964566
647,198916,8,000000,181,298481,100,000000,36,964566
740,050086,8,000000,137,298481,100,000000,36,964566
910,494266,8,000000,213,298481,100,000000,36,964566
912,732613,8,000000,217,298481,100,000000,36,964566
854,489280,8,000000,289,298481,100,000000,36,964566
773,325200,8,000000,5,298481,100,000000,36,964566
609,616975,8,000000,359,298481,100,000000,36,964566
603,589657,8,000000,355,298481,100,000000,36,964566
532,532614,8,000000,279,298481,100,000000,36,964566
530,638664,8,000000,227,298481,96,000000,36,964566
627,293277,8,000000,303,298481,96,000000,36,964566
619,307343,8,000000,307,298481,96,000000,36,964566
447,006553,8,000000,19,298481,96,000000,36,964566
407,108103,8,000000,91,298481,96,000000,36,964566
351,951923,8,000000,93,298481,92,000000,36,964566
374,767660,8,000000,25,298481,92,000000,36,964566
369,715625,8,000000,21,298481,92,000000,36,964566
221,238408,8,000000,317,298481,92,000000,36,964566
212,696287,8,000000,313,298481,92,000000,36,964566
100,198576,8,000000,5,298481,88,000000,36,964566
94,047290,8,000000,9,298481,88,000000,36,964566
139,090143,8,000000,61,298481,88,000000,36,964566
246,194193,8,000000,141,298481,88,000000,36,964566
