time,distancia,velocidade,direcao,minhaEnergia,meuHeading
5,625.1616367783953,5.0,90.76759490452798,100.0,217.29402316263685
24,491.75931860720357,8.0,114.26759490452797,100.0,217.29402316263685
42,421.6981888485798,8.0,42.26759490452789,100.0,217.29402316263685
62,583.9394668696086,8.0,322.2675949045278,100.0,217.29402316263685
79,677.2761023073878,8.0,22.267594904528035,100.0,217.29402316263685
80,685.9394755398254,8.0,26.267594904528035,100.0,217.29402316263685
99,747.889679276687,8.0,102.2675949045281,100.0,217.29402316263685
117,597.6291728418379,8.0,174.26759490452804,100.0,217.29402316263685
118,595.0647533011506,8.0,178.26759490452804,100.0,217.29402316263685
136,513.1926248937309,8.0,208.26759490452804,100.0,217.29402316263685
154,340.40762190420145,8.0,136.26759490452793,96.0,217.29402316263685
174,376.89734161659385,8.0,56.26759490452782,96.0,217.29402316263685
175,375.9291768230151,8.0,52.26759490452781,96.0,217.29402316263685
193,425.8059287393813,8.0,116.26759490452804,96.0,217.29402316263685
213,376.24939033382617,8.0,196.26759490452815,96.0,217.29402316263685
231,233.94992130016104,8.0,268.2675949045281,96.0,217.29402316263685
248,245.29373483098502,8.0,302.2675949045281,92.0,217.29402316263685
249,239.22245573894378,8.0,298.2675949045281,92.0,217.29402316263685
264,200.28865401838672,8.0,238.267594904528,92.0,217.29402316263685
265,201.45418643399674,8.0,234.267594904528,92.0,217.29402316263685
282,140.2314675330249,8.0,166.26759490452793,92.0,217.29402316263685
283,130.8786860499559,8.0,162.2675949045279,92.0,217.29402316263685
296,92.84908228492927,8.0,166.2675949045281,92.0,217.29402316263685
297,95.3002687128478,8.0,170.2675949045281,92.0,217.29402316263685
313,112.10429692641432,8.0,234.26759490452815,92.0,217.29402316263685
314,118.56969808653591,8.0,238.26759490452818,92.0,217.29402316263685
315,126.40034843819585,8.0,242.26759490452818,92.0,217.29402316263685
333,312.94501199251494,8.0,314.26759490452827,92.0,217.29402316263685
334,313.86709998477943,8.0,318.26759490452815,92.0,217.29402316263685
355,230.77824044604205,8.0,42.26759490452819,92.0,217.29402316263685
373,266.61026975210297,8.0,344.2675949045281,92.0,217.29402316263685
374,272.6105622997174,8.0,340.26759490452815,92.0,217.29402316263685
393,414.2411562584747,8.0,264.26759490452804,92.0,217.29402316263685
410,500.3159502444444,8.0,260.2675949045282,92.0,217.29402316263685
429,523.800722821101,-8.0,3.2675949045282286,92.0,217.29402316263685
447,485.2151496021617,8.0,99.51759490452815,92.0,217.29402316263685
466,309.53711832004427,8.0,102.26759490452815,92.0,217.29402316263685
484,241.57741430547932,8.0,30.267594904528092,88.0,217.29402316263685
485,240.59014826387406,8.0,26.267594904528092,88.0,217.29402316263685
505,373.5591142012088,8.0,330.26759490452815,88.0,217.29402316263685
523,452.76949176339997,8.0,42.267594904528245,88.0,217.29402316263685
543,456.3800003408339,8.0,122.26759490452832,88.0,217.29402316263685
561,285.82150622031077,8.0,194.26759490452827,88.0,217.29402316263685
562,283.6164096889291,8.0,198.26759490452824,88.0,217.29402316263685
579,222.15386084574783,8.0,192.2675949045282,88.0,217.29402316263685
580,211.44679497138898,8.0,188.2675949045282,88.0,217.29402316263685
595,79.08322299182896,8.0,128.2675949045281,88.0,217.29402316263685
596,70.60219162725947,8.0,124.2675949045281,88.0,217.29402316263685
597,62.30331499889019,8.0,120.2675949045281,88.0,217.29402316263685
598,54.79873784348477,8.0,116.2675949045281,88.0,217.29402316263685
620,174.5757008645716,8.0,68.2675949045282,84.0,217.29402316263685
621,174.52735421826023,8.0,72.2675949045282,84.0,217.29402316263685
