distancia,angulo,velocidade,direcao_robo,direcao_inimigo,seguro

0.0,0.0,0.0,0.0,0.0,1
650.7521799398312,-33.86701075788288,8.0,0.0,43.96112238282511,1
648.8930719479147,-33.69426833007924,8.0,0.0,47.9611223828251,1
646.5828080459326,-33.492123343760525,8.0,0.0,51.96112238282511,1
643.803465804891,-33.26273248493458,8.0,0.0,55.9611223828251,1
640.5394295567071,-33.00826803161124,8.0,0.0,59.96112238282511,1
636.7773392000319,-32.73091691057547,8.0,0.0,63.96112238282512,1
632.5060379492039,-32.432881781339034,8.0,0.0,67.96112238282512,1
627.7165200045312,-32.11638402882755,8.0,0.0,71.96112238282512,1
622.5388070775078,-31.786182144174457,8.0,0.0,74.96112238282511,1
617.9236699246866,-31.46307773232067,8.0,0.0,70.96112238282511,1
613.8582614252912,-31.15159694404847,8.0,0.0,66.96112238282511,1
610.3263088592275,-30.85622498557446,8.0,0.0,62.9611223828251,1
607.3083218963314,-30.581344127604066,8.0,0.0,58.961122382825096,1
604.7818484608619,-30.331175372032703,8.0,0.0,54.96112238282509,1
602.7217712412378,-30.109725634621473,8.0,0.0,50.961122382825096,1
601.100636370456,-29.920741964479372,8.0,0.0,46.96112238282509,1
599.8890050459895,-29.767673909157104,8.0,0.0,42.961122382825096,1
599.0558186079109,-29.65364468499787,8.0,0.0,38.961122382825096,1
594.5190289634032,-29.865691735349195,0.0,0.0,34.961122382825096,1
586.7017000014254,-30.298010999729005,-1.0,0.0,24.961122382825092,1
577.9054014821387,-30.757733860477874,-2.0,0.0,15.711122382825094,1
568.0898560026183,-31.220019984190664,-3.0,0.0,7.211122382825094,1
557.2677912588058,-31.661835433667324,-4.0,0.0,359.4611223828251,1
545.4865954486058,-32.062603670742845,-5.0,0.0,352.46112238282507,1
534.5017503320989,-32.28956971816932,-6.0,0.0,346.21112238282507,1
524.3757490707112,-32.31833989778861,-7.0,0.0,340.711122382825,1
515.1826051656953,-32.12937967828335,-8.0,0.0,335.961122382825,1
