time,distancia,velocidade,direcao,energia,minhaEnergia,meuGunHeat
5,625.1616367783953,5.0,90.76759490452798,100.0,100.0,2.4999999999999996
24,491.75931860720357,8.0,114.26759490452797,100.0,100.0,0.5999999999999984
42,421.6981888485798,8.0,42.26759490452789,100.0,100.0,0.0
62,583.9394668696086,8.0,322.2675949045278,100.0,100.0,0.0
79,677.2761023073878,8.0,22.267594904528035,100.0,100.0,0.0
80,685.9394755398254,8.0,26.267594904528035,100.0,100.0,0.0
99,747.889679276687,8.0,102.2675949045281,100.0,100.0,0.0
117,597.6291728418379,8.0,174.26759490452804,100.0,100.0,0.0
118,595.0647533011506,8.0,178.26759490452804,100.0,100.0,0.0
136,513.1926248937309,8.0,208.26759490452804,99.0,100.0,0.0
154,340.40762190420145,8.0,136.26759490452793,101.0,96.0,0.0
174,376.89734161659385,8.0,56.26759490452782,101.0,96.0,0.0
175,375.9291768230151,8.0,52.26759490452781,101.0,96.0,0.0
193,425.8059287393813,8.0,116.26759490452804,101.0,96.0,0.0
213,376.24939033382617,8.0,196.26759490452815,101.0,96.0,0.0
231,233.94992130016104,8.0,268.2675949045281,100.0,96.0,0.0
248,245.29373483098502,8.0,302.2675949045281,103.0,92.0,0.0
249,239.22245573894378,8.0,298.2675949045281,103.0,92.0,0.0
264,200.28865401838672,8.0,238.267594904528,103.0,92.0,0.0
265,201.45418643399674,8.0,234.267594904528,103.0,92.0,0.0
282,140.2314675330249,8.0,166.26759490452793,103.0,92.0,0.0
283,130.8786860499559,8.0,162.2675949045279,103.0,92.0,0.0
296,92.84908228492927,8.0,166.2675949045281,103.0,92.0,0.0
297,95.3002687128478,8.0,170.2675949045281,103.0,92.0,0.0
313,112.10429692641432,8.0,234.26759490452815,103.0,92.0,0.0
314,118.56969808653591,8.0,238.26759490452818,103.0,92.0,0.0
315,126.40034843819585,8.0,242.26759490452818,103.0,92.0,0.0
333,312.94501199251494,8.0,314.26759490452827,103.0,92.0,0.0
334,313.86709998477943,8.0,318.26759490452815,103.0,92.0,0.0
355,230.77824044604205,8.0,42.26759490452819,103.0,92.0,0.0
